epoch,step,test_acc,test_loss,train_loss,valid_acc,valid_loss
10,8649,,,1.541542649269104,,
10,8699,,,1.5646464824676514,,
10,8749,,,1.4948052167892456,,
10,8799,,,1.484334111213684,,
10,8849,,,1.514873743057251,,
10,8899,,,1.4966843128204346,,
10,8949,,,1.4965074062347412,,
10,8999,,,1.4914236068725586,,
10,9049,,,1.4935020208358765,,
10,9099,,,1.5091441869735718,,
10,9149,,,1.5094726085662842,,
10,9199,,,1.5130271911621094,,
10,9249,,,1.4874205589294434,,
10,9299,,,1.4804846048355103,,
10,9349,,,1.4769127368927002,,
10,9399,,,1.5190409421920776,,
10,9449,,,1.5053226947784424,,
10,9459,,,,0.9422000050544739,1.5202277898788452
11,9499,,,1.5119917392730713,,
11,9549,,,1.5095300674438477,,
11,9599,,,1.4787611961364746,,
11,9649,,,1.5044758319854736,,
11,9699,,,1.5004976987838745,,
11,9749,,,1.496483564376831,,
11,9799,,,1.4972162246704102,,
11,9849,,,1.4776675701141357,,
11,9899,,,1.4809565544128418,,
11,9949,,,1.5032199621200562,,
11,9999,,,1.5004329681396484,,
11,10049,,,1.5314089059829712,,
11,10099,,,1.4672417640686035,,
11,10149,,,1.5438975095748901,,
11,10199,,,1.4968162775039673,,
11,10249,,,1.5211206674575806,,
11,10299,,,1.508718490600586,,
11,10319,,,,0.9459999799728394,1.5163886547088623
12,10349,,,1.4967215061187744,,
12,10399,,,1.556077241897583,,
12,10449,,,1.5269197225570679,,
12,10499,,,1.5306862592697144,,
12,10549,,,1.4868571758270264,,
12,10599,,,1.5146725177764893,,
12,10649,,,1.5182795524597168,,
12,10699,,,1.5337615013122559,,
12,10749,,,1.5192667245864868,,
12,10799,,,1.4865041971206665,,
12,10849,,,1.4907958507537842,,
12,10899,,,1.499665379524231,,
12,10949,,,1.5074002742767334,,
12,10999,,,1.4953486919403076,,
12,11049,,,1.4939671754837036,,
12,11099,,,1.468247890472412,,
12,11149,,,1.511069893836975,,
12,11179,,,,0.9444000124931335,1.517382264137268
13,11199,,,1.493950366973877,,
13,11249,,,1.4772316217422485,,
13,11299,,,1.4766676425933838,,
13,11349,,,1.4886432886123657,,
13,11399,,,1.5331645011901855,,
13,11449,,,1.4880393743515015,,
13,11499,,,1.506023645401001,,
13,11549,,,1.519723653793335,,
13,11599,,,1.487004280090332,,
13,11649,,,1.4770210981369019,,
13,11699,,,1.4916234016418457,,
13,11749,,,1.4648211002349854,,
13,11799,,,1.5246076583862305,,
13,11849,,,1.4899637699127197,,
13,11899,,,1.4935753345489502,,
13,11949,,,1.488261103630066,,
13,11999,,,1.4989056587219238,,
13,12039,,,,0.9449999928474426,1.5171821117401123
14,12049,,,1.4792823791503906,,
14,12099,,,1.479835033416748,,
14,12149,,,1.500756025314331,,
14,12199,,,1.5096988677978516,,
14,12249,,,1.491008996963501,,
14,12299,,,1.4944366216659546,,
14,12349,,,1.4864938259124756,,
14,12399,,,1.4920003414154053,,
14,12449,,,1.4867475032806396,,
14,12499,,,1.4867185354232788,,
14,12549,,,1.524075984954834,,
14,12599,,,1.521203875541687,,
14,12649,,,1.4821702241897583,,
14,12699,,,1.4769951105117798,,
14,12749,,,1.484135389328003,,
14,12799,,,1.492814540863037,,
14,12849,,,1.5156229734420776,,
14,12899,,,1.5928460359573364,,
14,12899,,,,0.9441999793052673,1.5181010961532593
15,12900,0.9402898550033569,1.514886736869812,,,
